scrape_id,barcode,competitor_channel,competitor_product_name,listed_price,discounted_price,voucher_text,timestamp
SCRAPE-0001,8518348558221,GrabMart,Mặt nạ CeraVe 200g Chính hãng,458000,344000,,2026-06-29 21:47:44
SCRAPE-0002,8518348558221,GrabMart,Mặt nạ CeraVe 200g Date mới,582000,478000,,2026-07-02 05:07:27
SCRAPE-0003,8518348558221,Lazada,Mặt nạ CeraVe 200g Date mới,500000,447000,Giảm 50K đơn 300K,2026-07-04 17:58:35
SCRAPE-0004,8518348558221,Lazada,Mặt nạ CeraVe 200g Date mới,507000,371000,Giảm 50K đơn 300K,2026-06-30 00:09:35
SCRAPE-0005,8066629123927,TikTok Shop,Date mới Kem dưỡng ẩm CeraVe 30ml,1212000,985000,Giảm 50K đơn 300K,2026-06-30 22:14:01
SCRAPE-0006,8066629123927,TikTok Shop,[Freeship] Kem dưỡng ẩm CeraVe 30ml,1168000,1076000,Hoàn xu 10%,2026-06-30 17:53:58
SCRAPE-0007,8066629123927,Lazada,Date mới Kem dưỡng ẩm CeraVe 30ml,1241000,1191000,Giảm 15k cho đơn từ 150k,2026-07-04 19:16:02
SCRAPE-0008,2679803192344,Shopee,Giá sỉ Kem nền L'Oreal 50ml,191000,154000,Giảm 15k cho đơn từ 150k,2026-06-30 17:52:20
SCRAPE-0009,2679803192344,Shopee,Giá sỉ Kem nền L'Oreal 50ml,187000,163000,Giảm 50K đơn 300K,2026-06-30 07:37:20
SCRAPE-0010,2679803192344,GrabMart,[Freeship] Kem nền L'Oreal 50ml,166000,119000,Freeship extra,2026-07-01 03:56:38
SCRAPE-0011,8816685296496,Lazada,Kem dưỡng ẩm Innisfree 30ml [Freeship],693000,627000,Giảm 50K đơn 300K,2026-07-03 20:25:50
SCRAPE-0012,8816685296496,Lazada,Kem dưỡng ẩm Innisfree 30ml Auth 100%,849000,649000,Hoàn xu 10%,2026-06-29 20:11:45
SCRAPE-0013,8816685296496,Shopee,Kem dưỡng ẩm Innisfree 30ml Auth 100%,701000,659000,Freeship extra,2026-07-05 16:28:49
SCRAPE-0014,8816685296496,Lazada,Kem dưỡng ẩm Innisfree 30ml [Freeship],874000,654000,Freeship extra,2026-06-29 01:07:03
SCRAPE-0015,3953119389006,Lazada,Auth 100% Dầu gội L'Oreal 250ml,1432000,1011000,Giảm 50K đơn 300K,2026-07-03 09:58:24
SCRAPE-0016,3953119389006,GrabMart,[Freeship] Dầu gội L'Oreal 250ml,1289000,1262000,Hoàn xu 10%,2026-07-05 08:03:58
SCRAPE-0017,3953119389006,GrabMart,Dầu gội L'Oreal 250ml Chính hãng,1168000,1107000,Giảm 50K đơn 300K,2026-07-03 12:44:23
SCRAPE-0018,3953119389006,GrabMart,Dầu gội L'Oreal 250ml Giá sỉ,1273000,912000,Hoàn xu 10%,2026-06-30 19:25:10
SCRAPE-0019,3953699238053,GrabMart,Chính hãng Dầu gội Cetaphil 500ml,1349000,967000,Freeship extra,2026-07-04 03:08:40
SCRAPE-0020,3953699238053,Shopee,Date mới Dầu gội Cetaphil 500ml,1369000,1109000,Giảm 15k cho đơn từ 150k,2026-07-03 09:54:32
SCRAPE-0021,3953699238053,TikTok Shop,Dầu gội Cetaphil 500ml Chính hãng,1148000,1116000,Giảm 50K đơn 300K,2026-07-05 07:45:59
SCRAPE-0022,1808366566149,Lazada,Date mới Kem chống nắng Cetaphil 100ml,807000,803000,Giảm 50K đơn 300K,2026-06-29 08:58:49
SCRAPE-0023,1808366566149,Lazada,Giá sỉ Kem chống nắng Cetaphil 100ml,802000,591000,Freeship extra,2026-07-01 17:12:51
SCRAPE-0024,1808366566149,Lazada,Chính hãng Kem chống nắng Cetaphil 100ml,845000,816000,Hoàn xu 10%,2026-07-01 09:38:17
SCRAPE-0025,1808366566149,Lazada,Kem chống nắng Cetaphil 100ml Date mới,671000,515000,Giảm 50K đơn 300K,2026-06-30 22:28:49
SCRAPE-0026,5747348745643,Lazada,Mặt nạ Cetaphil 100ml Date mới,1235000,1080000,,2026-06-29 21:08:30
SCRAPE-0027,5747348745643,Shopee,Mặt nạ Cetaphil 100ml [Freeship],1522000,1380000,,2026-07-03 17:46:07
SCRAPE-0028,5747348745643,Lazada,[Freeship] Mặt nạ Cetaphil 100ml,1131000,1051000,Freeship extra,2026-06-29 22:29:34
SCRAPE-0029,5747348745643,Shopee,Mặt nạ Cetaphil 100ml Date mới,1399000,990000,Giảm 15k cho đơn từ 150k,2026-07-05 21:32:19
SCRAPE-0030,7666502859908,TikTok Shop,Auth 100% Toner Innisfree 30ml,1167000,1124000,Giảm 15k cho đơn từ 150k,2026-06-29 11:12:05
SCRAPE-0031,7666502859908,Lazada,Date mới Toner Innisfree 30ml,1410000,1083000,Hoàn xu 10%,2026-07-05 13:32:01
SCRAPE-0032,7666502859908,Lazada,Giá sỉ Toner Innisfree 30ml,1498000,1092000,Hoàn xu 10%,2026-07-04 03:11:28
SCRAPE-0033,7666502859908,Shopee,[Freeship] Toner Innisfree 30ml,1370000,1225000,Freeship extra,2026-07-04 13:42:08
SCRAPE-0034,6502628412594,Shopee,Sữa rửa mặt Maybelline 50ml Auth 100%,437000,368000,,2026-07-02 13:30:00
SCRAPE-0035,6502628412594,GrabMart,Giá sỉ Sữa rửa mặt Maybelline 50ml,373000,291000,Freeship extra,2026-07-03 12:35:18
SCRAPE-0036,6502628412594,GrabMart,Sữa rửa mặt Maybelline 50ml Date mới,418000,306000,Giảm 15k cho đơn từ 150k,2026-06-30 19:36:50
SCRAPE-0037,6502628412594,Shopee,Chính hãng Sữa rửa mặt Maybelline 50ml,373000,280000,Giảm 15k cho đơn từ 150k,2026-07-03 09:36:42
SCRAPE-0038,6502628412594,Lazada,Chính hãng Sữa rửa mặt Maybelline 50ml,467000,431000,Giảm 50K đơn 300K,2026-06-30 10:20:09
SCRAPE-0039,2788801146353,Lazada,Date mới Kem nền CeraVe 100ml,305000,219000,Giảm 50K đơn 300K,2026-06-29 14:06:45
SCRAPE-0040,2788801146353,Lazada,Kem nền CeraVe 100ml Date mới,324000,296000,Giảm 50K đơn 300K,2026-06-29 19:03:50
SCRAPE-0041,2788801146353,Shopee,Kem nền CeraVe 100ml Giá sỉ,357000,295000,,2026-07-04 20:25:52
SCRAPE-0042,2788801146353,Shopee,Giá sỉ Kem nền CeraVe 100ml,327000,304000,Hoàn xu 10%,2026-07-04 13:19:54
SCRAPE-0043,8825960522753,Lazada,Date mới Serum Hada Labo 100ml,175000,143000,Hoàn xu 10%,2026-07-02 05:51:54
SCRAPE-0044,8825960522753,Shopee,[Freeship] Serum Hada Labo 100ml,174000,153000,Giảm 50K đơn 300K,2026-07-01 16:55:02
SCRAPE-0045,8825960522753,GrabMart,Date mới Serum Hada Labo 100ml,158000,117000,Freeship extra,2026-07-05 11:31:35
SCRAPE-0046,1190291796627,Shopee,Kem nền Bioderma 200g Chính hãng,1143000,902000,,2026-07-03 02:39:02
SCRAPE-0047,1190291796627,Lazada,Kem nền Bioderma 200g Date mới,1198000,902000,Giảm 50K đơn 300K,2026-07-04 16:09:33
SCRAPE-0048,1190291796627,Lazada,Chính hãng Kem nền Bioderma 200g,1270000,1038000,Giảm 50K đơn 300K,2026-07-03 09:58:34
SCRAPE-0049,1190291796627,Lazada,Chính hãng Kem nền Bioderma 200g,1256000,1247000,Giảm 15k cho đơn từ 150k,2026-07-05 15:33:44
SCRAPE-0050,1190291796627,TikTok Shop,Chính hãng Kem nền Bioderma 200g,1143000,1048000,Freeship extra,2026-06-29 01:46:06
SCRAPE-0051,2354412921425,Shopee,Chính hãng Sữa tắm Hada Labo 250ml,395000,327000,Giảm 50K đơn 300K,2026-07-03 02:35:08
SCRAPE-0052,2354412921425,GrabMart,Auth 100% Sữa tắm Hada Labo 250ml,434000,379000,Giảm 15k cho đơn từ 150k,2026-07-01 13:59:15
SCRAPE-0053,2354412921425,Shopee,Date mới Sữa tắm Hada Labo 250ml,389000,315000,Giảm 50K đơn 300K,2026-07-05 13:37:37
SCRAPE-0054,2354412921425,TikTok Shop,Sữa tắm Hada Labo 250ml Auth 100%,368000,261000,Giảm 15k cho đơn từ 150k,2026-07-01 08:09:35
SCRAPE-0055,2354412921425,TikTok Shop,Sữa tắm Hada Labo 250ml Giá sỉ,425000,310000,,2026-07-03 15:56:58
SCRAPE-0056,3545178661881,Lazada,Date mới Sữa tắm Maybelline 150g,564000,426000,Giảm 15k cho đơn từ 150k,2026-07-02 03:32:20
SCRAPE-0057,3545178661881,Lazada,Sữa tắm Maybelline 150g Date mới,548000,386000,Freeship extra,2026-07-04 04:54:37
SCRAPE-0058,3545178661881,Lazada,[Freeship] Sữa tắm Maybelline 150g,536000,421000,Giảm 15k cho đơn từ 150k,2026-07-04 03:25:01
SCRAPE-0059,3545178661881,TikTok Shop,Chính hãng Sữa tắm Maybelline 150g,554000,468000,,2026-07-05 06:30:28
SCRAPE-0060,7752960219306,TikTok Shop,Mặt nạ La Roche-Posay 30ml Date mới,252000,243000,Giảm 50K đơn 300K,2026-07-03 22:17:42
SCRAPE-0061,7752960219306,Shopee,[Freeship] Mặt nạ La Roche-Posay 30ml,229000,221000,Giảm 15k cho đơn từ 150k,2026-07-02 08:56:06
SCRAPE-0062,7752960219306,TikTok Shop,Mặt nạ La Roche-Posay 30ml Chính hãng,294000,226000,,2026-07-04 13:48:33
SCRAPE-0063,7752960219306,TikTok Shop,Mặt nạ La Roche-Posay 30ml Chính hãng,256000,222000,Giảm 15k cho đơn từ 150k,2026-06-29 16:20:04
SCRAPE-0064,7862075470265,TikTok Shop,Date mới Sữa rửa mặt La Roche-Posay 50ml,770000,684000,Hoàn xu 10%,2026-06-29 03:12:55
SCRAPE-0065,7862075470265,Shopee,Auth 100% Sữa rửa mặt La Roche-Posay 50ml,777000,755000,Freeship extra,2026-07-05 00:28:42
SCRAPE-0066,7862075470265,Lazada,Auth 100% Sữa rửa mặt La Roche-Posay 50ml,983000,741000,Freeship extra,2026-07-03 20:28:13
