sku_id,barcode,product_name,category,current_price,promotion_details
GUA-1001,8518348558221,Mặt nạ CeraVe 200g,Healthcare,515000,Giảm 10%
GUA-1002,8066629123927,Kem dưỡng ẩm CeraVe 30ml,Skincare,1306000,Không
GUA-1003,2679803192344,Kem nền L'Oreal 50ml,Healthcare,182000,Mua 1 tặng 1
GUA-1004,8816685296496,Kem dưỡng ẩm Innisfree 30ml,Skincare,791000,Giảm 10%
GUA-1005,3953119389006,Dầu gội L'Oreal 250ml,Healthcare,1370000,Giảm 10%
GUA-1006,3953699238053,Dầu gội Cetaphil 500ml,Bodycare,1267000,Không
GUA-1007,1808366566149,Kem chống nắng Cetaphil 100ml,Bodycare,779000,Mua 1 tặng 1
GUA-1008,5747348745643,Mặt nạ Cetaphil 100ml,Makeup,1325000,Mua 1 tặng 1
GUA-1009,7666502859908,Toner Innisfree 30ml,Bodycare,1319000,Giảm 10%
GUA-1010,6502628412594,Sữa rửa mặt Maybelline 50ml,Skincare,410000,Giảm 20K
GUA-1011,2788801146353,Kem nền CeraVe 100ml,Healthcare,321000,Không
GUA-1012,8825960522753,Serum Hada Labo 100ml,Makeup,184000,Không
GUA-1013,1190291796627,Kem nền Bioderma 200g,Healthcare,1141000,Giảm 10%
GUA-1014,2354412921425,Sữa tắm Hada Labo 250ml,Bodycare,385000,Giảm 20K
GUA-1015,3545178661881,Sữa tắm Maybelline 150g,Makeup,567000,Giảm 20K
GUA-1016,7752960219306,Mặt nạ La Roche-Posay 30ml,Bodycare,258000,Giảm 10%
GUA-1017,7862075470265,Sữa rửa mặt La Roche-Posay 50ml,Healthcare,891000,Mua 1 tặng 1
GUA-1018,72856176822,Dầu gội Vichy 200g,Bodycare,612000,Giảm 10%
GUA-1019,2132824971987,Dầu gội Vichy 30ml,Bodycare,1137000,Giảm 10%
GUA-1020,2970211578228,Kem chống nắng Maybelline 250ml,Healthcare,958000,Giảm 10%
GUA-1021,499276556405,Sữa rửa mặt La Roche-Posay 150g,Skincare,317000,Không
GUA-1022,6390191861854,Sữa rửa mặt Garnier 150g,Bodycare,1314000,Giảm 20K
GUA-1023,469777508820,Dầu gội L'Oreal 200g,Bodycare,838000,Giảm 20K
GUA-1024,615948125591,Serum CeraVe 250ml,Skincare,102000,Giảm 20K
GUA-1025,6610810571542,Kem chống nắng Cetaphil 150g,Makeup,961000,Không
GUA-1026,3385839658624,Nước tẩy trang CeraVe 150g,Healthcare,122000,Mua 1 tặng 1
GUA-1027,2261755986103,Dầu gội Garnier 500ml,Healthcare,1122000,Mua 1 tặng 1
